prices,id
R$23,1005004930306066
"R$26,52",1005004974466309
"R$26,57",1005003394159400
"R$36,67",1005005073935682
"R$26,84",1005003652690059
"R$125,03",1005005034734996
"R$62,21",33032319107
"R$19,01",1005003969468451
"R$11,4",1005005363283034
"R$33,93",1005003083959556
"R$101,12",1005004273150487
"R$81,95",1005002760869677
"R$42,37",1005004436069165
"R$82,01",1005004841283680
"R$4,14",1005002695040683
"R$33,93",1005003283180491
"R$11,18",1005003666107301
"R$18,65",4001065386574
"R$30,25",1005004764444001
"R$25,59",1005003591041590
"R$56,36",4001360724801
"R$97,12",1005004182441554
"R$25,07",1005004195823913
"R$8,4",1005005390895640
"R$77,6",1005004909639833
"R$25,17",1005003710871409
"R$76,77",1005004528402500
"R$123,75",1005001749765745
"R$49,41",1005004856077298
"R$90,44",1005004242894478
"R$95,06",1005003542689435
"R$16,06",1005004313964052
"R$16,01",1005003336628112
"R$26,05",1005005239073679
"R$228,86",1005005091277927
"R$11,93",1005003087056598
"R$44,5",1005001994975395
"R$61,8",1005005045935690
"R$13,79",4001132707443
"R$46,83",1005005135210319
"R$27,04",1005004177557981
"R$44,49",1005003474183136
"R$68,89",1005003131503384
"R$11,33",1005005312069166
"R$26,62",1005005566745396
"R$16,32",1005004784314620
"R$50,35",1005005523690566
"R$28,5",32952298060
"R$8,86",1005005524421878
"R$18,03",1005003252225030
"R$140,28",1005001604861707
"R$47,61",1005003418248558
"R$34,29",1005004651493046
"R$19,27",4000699376344
"R$19,85",1005005517380731
"R$13,15",1005002767037535
"R$109,77",1005004862818423
"R$17,25",1005003330292849
"R$18,65",4000342071669
"R$10,83",1005004832050804
"R$10,42",1005003950847180
"R$36,05",1005004780257812
"R$107,23",1005004501984702
"R$12,33",4000322144211
"R$23,38",1005004143849829
"R$64,18",1005005120979635
"R$61,85",1005005637243123
"R$24,5",1005005477306583
"R$141,51",1005005338781588
"R$143,9",1005005435602703
"R$159,5",1005004054708105
"R$28,02",1005005506419828
"R$29,89",32826773206
"R$72,26",1005005537645535
"R$77,65",1005004431717035
"R$24,13",1005005383701865
"R$34,3",1005004288122713
"R$4,99",4001127574320
"R$74,33",32860249707
"R$4,99",1005005310732520
R$243,1005002876414227
"R$8,1",33042760428
"R$59,96",1005005543781204
"R$52,07",1005005411723712
"R$23,38",1005003867771665
"R$58,44",1005003860388416
"R$57,34",32880470819
"R$10,57",1005004689547736
"R$10,46",4001320818299
"R$211,97",1005002500043520
"R$24,13",1005005399636234
"R$45,74",1005004694357386
"R$394,86",1005005107623897
"R$148,67",1005003642152287
"R$25,43",32854234221
"R$127,43",1005005248582134
"R$39,94",1005005391011259
"R$8,08",1005003232839000
"R$4,99",1005003136620238
"R$53,32",1005005472273726
"R$47,76",32953202757
"R$125,03",1005005331335454
"R$7,62",1005004887511023
"R$26,52",32917670417
"R$81,74",32855323254
"R$47,76",32916199025
"R$81,12",1005004779823254
"R$37,71",1005003193377672
"R$170,47",1005003254996919
"R$94,85",1005004215659536
R$43,1005005345366225
"R$42,27",1005004840383831
"R$54,91",1005003797254962
"R$139,6",1005004795203342
"R$122,1",32901726810
"R$33,2",1005005311374183
"R$13,57",1005005535032008
"R$88,01",1005004001172423
"R$4,99",4000334725322
"R$42,48",32857963849
"R$87,23",1005003860190993
"R$4,99",1005003483226777
"R$46,99",1005004109172361
"R$4,99",1005002752355157
"R$58,33",1005005312589269
"R$181,87",1005005888498053
"R$124,03",1005005754505805
"R$260,65",1005006068013395
"R$241,09",1005006119281980
"R$18,96",1005004317189428
"R$249,94",1005006122913765
"R$362,61",1005005871858927
"R$331,14",1005005186282924
"R$232,45",1005006161669309
"R$2.281,21",1005005755169789
"R$130,44",1005005750498343
"R$56,77",32889443272
"R$257,51",1005006045529157
"R$130,33",1005005807574142
"R$20,41",1005004228104812
"R$237,41",1005006059967480
"R$354,93",32911790477
"R$118,16",1005003328778683
"R$226,83",1005006085131141
"R$1.827,28",1005001987641465
"R$110,6",32848591756
"R$84,69",32866023599
"R$232,44",1005006164729622
"R$33,09",1005002963237999
"R$59,63",1005006169566905
"R$259,02",1005006101908476
"R$59,67",1005002963579426
"R$27,76",1005006066540984
"R$221,77",1005006122429670
"R$60,59",1005004584568395
"R$167,05",1005005887949840
"R$192,54",1005005665762317
"R$59,67",1005002975918778
"R$88,65",1005002057885106
"R$5,26",1005003738857564
"R$261,23",1005006135739865
"R$192,54",1005005664448143
"R$208,1",1005006098668016
"R$288,21",1005005770819426
"R$81,68",1005005762536943
"R$38,38",1005002963418409
"R$288,21",1005005801386790
"R$171,25",1005005254152564
"R$157,93",1005005607947507
"R$54,25",1005005237694691
"R$118,16",1005002963095394
"R$152,85",1005005668697719
"R$768,83",1005003942876840
"R$178,29",1005005848042306
"R$4,99",32905954077
"R$208,22",1005006072741175
"R$190,58",1005003252632341
"R$156,48",1005005879014956
"R$167,33",1005005847278175
"R$127,97",1005003800321590
"R$181,72",1005003601295026
"R$191,72",1005003780326529
"R$171,3",1005003307971927
"R$113,68",1005005266387529
"R$503,73",1005006103311270
"R$5,91",1005004766707101
"R$25,37",1005006004608617
"R$144,76",1005006133321171
"R$136,65",1005006168748822
"R$3,16",1005005589223459
"R$5,5",1005006067710696
"R$5,75",1005001626199207
"R$30,14",1005005120689967
"R$3,68",1005005080495558
"R$0,04",1005004949064026
"R$5,75",1005004583579987
"R$4,99",1005004834875312
"R$20,93",4000916963297
"R$7,45",1005003898854154
"R$3,83",1005005030428989
"R$8,02",1005004348414766
"R$2,08",1005005226415655
"R$21,31",1005006005902248
"R$27,97",1005005879080559
"R$8,96",1005002953928307
"R$557,12",1005005120790625
"R$3,73",1005005079198332
"R$571,88",1005002460576175
"R$0,05",1005005769229715
"R$3.719,5",1005004788847048
R$5.017,1005005189932111
"R$4,99",1005003072034941
"R$151,85",1005005516071715
"R$905,21",1005006099032446
"R$337,63",1005005767922968
"R$5,7",1005005928003089
"R$47,4",1005005976754561
"R$1.493,5",1005005390164553
"R$46,09",1005006137346146
"R$187,28",1005005962531769
"R$107,63",1005004419520124
"R$52,73",1005003714240346
"R$64,13",1005003590102321
"R$39,99",1005006101242330
"R$114,16",1005006150332358
"R$326,7",1005005848269133
"R$110,3",1005006110393957
"R$504,02",1005004755127934
